type	latitude	longitude	altitude (m)	name	desc
T	44.124590000	5.266190000	838.6		
T	44.124630000	5.266230000	839.3		
T	44.124670000	5.266280000	840.2		
T	44.124710000	5.266330000	841.0		
T	44.124750000	5.266390000	841.9		
T	44.124790000	5.266440000	842.4		
T	44.124810000	5.266500000	843.2		
T	44.124840000	5.266560000	843.8		
T	44.124870000	5.266620000	844.4		
T	44.124890000	5.266680000	845.0		
T	44.124920000	5.266740000	845.6		
T	44.124950000	5.266820000	846.6		
T	44.124990000	5.266930000	847.9		
T	44.125030000	5.267060000	849.0		
T	44.125160000	5.267440000	852.1		
T	44.125190000	5.267520000	852.6		
T	44.125220000	5.267600000	853.3		
T	44.125240000	5.267670000	854.1		
T	44.125260000	5.267740000	854.8		
T	44.125310000	5.267850000	856.1		
T	44.125360000	5.267950000	857.4		
T	44.125400000	5.268000000	857.9		
T	44.125440000	5.268070000	858.5		
T	44.125540000	5.268210000	858.9		
T	44.125580000	5.268260000	859.3		
T	44.125610000	5.268310000	859.8		
T	44.125640000	5.268370000	860.4		
T	44.125670000	5.268430000	861.1		
T	44.125690000	5.268480000	861.6		
T	44.125820000	5.268890000	865.2		
T	44.125910000	5.269140000	868.7		
T	44.125940000	5.269210000	869.4		
T	44.125990000	5.269360000	870.7		
T	44.126040000	5.269540000	871.8		
T	44.126070000	5.269640000	872.1		
T	44.126090000	5.269730000	872.3		
T	44.126120000	5.269860000	873.6		
T	44.126140000	5.270030000	875.7		
T	44.126170000	5.270240000	878.9		
T	44.126200000	5.270360000	880.6		
T	44.126440000	5.270990000	886.9		
T	44.126480000	5.271100000	887.9		
T	44.126500000	5.271190000	888.5		
T	44.126520000	5.271250000	888.8		
T	44.126540000	5.271400000	889.5		
T	44.126550000	5.271570000	890.0		
T	44.126560000	5.271720000	890.3		
T	44.126600000	5.272240000	893.6		
T	44.126610000	5.272450000	895.2		
T	44.126620000	5.272660000	896.1		
T	44.126640000	5.272890000	897.1		
T	44.126650000	5.273200000	898.8		
T	44.126660000	5.273260000	898.8		
T	44.126660000	5.273330000	899.1		
T	44.126650000	5.273390000	899.9		
T	44.126640000	5.273450000	900.7		
T	44.126580000	5.273640000	903.1		
T	44.126500000	5.273860000	905.1		
T	44.126420000	5.274050000	906.0		
T	44.126260000	5.274460000	909.5		
T	44.125830000	5.275530000	920.0		
T	44.125770000	5.275710000	921.9		
T	44.125730000	5.275860000	923.2		
T	44.125710000	5.276010000	924.0		
T	44.125710000	5.276120000	924.4		
T	44.125720000	5.276260000	924.5		
T	44.125740000	5.276390000	924.7		
T	44.125930000	5.277220000	931.3		
T	44.126010000	5.277620000	933.8		
T	44.126110000	5.278100000	937.7		
T	44.126140000	5.278220000	939.3		
T	44.126170000	5.278300000	940.4		
T	44.126200000	5.278370000	941.2		
T	44.126260000	5.278450000	941.7		
T	44.126380000	5.278540000	940.9		
T	44.126430000	5.278590000	941.2		
T	44.126480000	5.278650000	941.9		
T	44.126510000	5.278740000	942.6		
T	44.126530000	5.278820000	943.1		
T	44.126540000	5.278910000	943.6		
T	44.126550000	5.279150000	944.8		
T	44.126560000	5.279500000	947.2		
T	44.126560000	5.279970000	951.7		
T	44.126560000	5.280110000	953.1		
T	44.126570000	5.280230000	954.2		
T	44.126570000	5.280350000	955.4		
T	44.126580000	5.280460000	956.3		
