type	latitude	longitude	altitude (m)	name	desc
T	50.928960000	3.438320000	8.9		
T	50.928850000	3.438460000	10.4		
T	50.928570000	3.438770000	12.9		
T	50.928450000	3.438890000	12.4		
T	50.928370000	3.439000000	12.1		
T	50.928370000	3.439000000	12.1		
T	50.927770000	3.437630000	8.4		
T	50.927660000	3.437350000	7.3		
T	50.927460000	3.436820000	6.3		
T	50.924580000	3.433920000	7.0		
T	50.924250000	3.433600000	4.3		
T	50.923990000	3.433340000	4.6		
T	50.923150000	3.432490000	4.6		
T	50.922410000	3.431640000	6.1		
T	50.922020000	3.431300000	10.5		
T	50.921840000	3.431200000	12.4		
T	50.921720000	3.431140000	13.5		
T	50.921350000	3.431030000	7.6		
T	50.921080000	3.430970000	4.7		
T	50.920360000	3.430920000	4.5		
T	50.920270000	3.430920000	3.9		
T	50.920220000	3.430920000	3.6		
T	50.919980000	3.430940000	2.7		
T	50.919940000	3.430940000	3.1		
T	50.919870000	3.430950000	3.9		
T	50.919800000	3.430960000	4.7		
T	50.919620000	3.430980000	6.7		
T	50.919260000	3.431020000	9.6		
T	50.919140000	3.431030000	9.8		
T	50.918830000	3.431060000	7.4		
T	50.918360000	3.431080000	5.0		
T	50.918230000	3.431080000	4.7		
T	50.918090000	3.431080000	4.2		
T	50.917900000	3.431080000	4.1		
T	50.917570000	3.431040000	3.3		
T	50.917450000	3.431020000	2.9		
T	50.917270000	3.431000000	2.3		
T	50.917170000	3.430980000	2.2		
T	50.917070000	3.430950000	2.4		
T	50.916950000	3.430920000	2.6		
T	50.916910000	3.430910000	2.8		
T	50.916880000	3.430920000	3.1		
T	50.916860000	3.430920000	3.2		
T	50.916840000	3.430930000	3.4		
T	50.916770000	3.431000000	4.5		
T	50.916610000	3.431180000	5.8		
T	50.915730000	3.432080000	6.7		
T	50.915670000	3.432130000	6.7		
T	50.915590000	3.432230000	6.8		
T	50.915550000	3.432260000	6.9		
T	50.915510000	3.432300000	6.8		
T	50.915290000	3.432520000	7.0		
T	50.915060000	3.432790000	7.7		
T	50.915020000	3.432830000	7.7		
T	50.914990000	3.432860000	7.8		
T	50.914960000	3.432880000	7.8		
T	50.914890000	3.432910000	8.1		
T	50.914890000	3.432910000	8.1		
T	50.914220000	3.431840000	7.6		
T	50.913220000	3.430230000	8.2		
T	50.912630000	3.429300000	4.2		
T	50.912430000	3.428960000	3.3		
T	50.912260000	3.428650000	3.7		
T	50.912120000	3.428410000	4.7		
T	50.911960000	3.428110000	4.3		
T	50.911690000	3.427580000	3.1		
